Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf,norm_Nose_x,norm_Nose_y,norm_Left_Eye_x,norm_Left_Eye_y,norm_Right_Eye_x,norm_Right_Eye_y,norm_Left_Ear_x,norm_Left_Ear_y,norm_Right_Ear_x,norm_Right_Ear_y,norm_Left_Shoulder_x,norm_Left_Shoulder_y,norm_Right_Shoulder_x,norm_Right_Shoulder_y,norm_Left_Elbow_x,norm_Left_Elbow_y,norm_Right_Elbow_x,norm_Right_Elbow_y,norm_Left_Wrist_x,norm_Left_Wrist_y,norm_Right_Wrist_x,norm_Right_Wrist_y,norm_Left_Hip_x,norm_Left_Hip_y,norm_Right_Hip_x,norm_Right_Hip_y,norm_Left_Knee_x,norm_Left_Knee_y,norm_Right_Knee_x,norm_Right_Knee_y,norm_Left_Ankle_x,norm_Left_Ankle_y,norm_Right_Ankle_x,norm_Right_Ankle_y
0,0.0,1414.67,1099.81,0.99,1433.35,1082.45,0.99,1396.34,1083.4,0.99,1457.43,1089.57,0.93,1373.31,1092.82,0.93,1490.82,1183.21,1.0,1343.44,1194.82,1.0,1538.07,1320.22,1.0,1301.61,1325.93,0.99,1605.45,1404.23,0.99,1269.82,1424.22,0.99,1461.64,1382.4,1.0,1363.44,1389.49,1.0,1618.07,1435.28,0.99,1273.97,1467.52,0.99,1407.33,1499.9,0.97,1469.16,1477.94,0.97,0.010813089279825978,-1.4525837094285683,0.10564337460712042,-1.5407129253430134,-0.08224039733951755,-1.5358901859928562,0.2278871257142556,-1.5045677630555223,-0.19915375232279417,-1.4880689179102489,0.39739372245292676,-1.0291979601621637,-0.35079083062719996,-0.9702590087355102,0.6372615480265189,-0.33365741451480163,-0.5631436590662137,-0.30467021273649014,0.9793206821460674,0.09282504107117667,-0.7245277474256737,0.1943056301339515,0.24925947588705627,-0.01799643262769104,-0.2492594758870551,0.017996432627689886,1.0433869669870983,0.2504524693052513,-0.7034599913170931,0.4141210131463648,-0.026448917909807915,0.5785002764706598,0.28743526526935065,0.46701884896598067
1,0.033,1414.45,1099.77,0.99,1432.22,1082.31,0.99,1396.31,1083.48,0.99,1457.45,1090.13,0.88,1372.44,1093.02,0.88,1492.75,1182.27,1.0,1341.9,1191.07,1.0,1535.22,1320.39,0.99,1293.46,1331.9,0.98,1602.2,1408.53,0.99,1272.87,1425.96,0.97,1457.17,1390.51,1.0,1353.05,1396.33,1.0,1611.21,1446.94,0.99,1322.78,1462.74,0.99,1416.52,1486.78,0.96,1429.79,1486.48,0.96,0.04509669458631362,-1.4178420091296697,0.1308962944577054,-1.5021448236347066,-0.042489391044922005,-1.4964956659616884,0.25271530991945096,-1.4643872056834235,-0.15774186425427003,-1.4504333033970809,0.42315570808828207,-1.019503968083534,-0.3051993645397121,-0.9770145770386133,0.6282153032789414,-0.35261366227393054,-0.5390841488824373,-0.29703947012313037,0.9516175092094888,0.07295621576008568,-0.6384996672477705,0.15711418006837863,0.25136337474983994,-0.014050469084173178,-0.25136337474984105,0.01405046908417208,0.9951208516316183,0.2584127509913839,-0.3975172232645867,0.33470052127658295,0.05509135816165272,0.450773812267481,0.1191634285214371,0.4493253103000407
2,0.067,1414.08,1099.86,0.99,1431.8,1082.55,0.99,1395.98,1083.66,0.99,1457.03,1090.63,0.88,1372.23,1093.47,0.88,1492.37,1182.6,1.0,1341.41,1191.2,1.0,1535.26,1320.16,0.99,1293.56,1332.74,0.98,1602.67,1408.2,0.99,1272.9,1427.83,0.97,1457.85,1391.1,1.0,1354.08,1396.8,1.0,1613.59,1446.59,0.99,1325.1,1459.73,0.99,1414.27,1487.77,0.97,1436.17,1488.36,0.96,0.03913898503225606,-1.4184083928695217,0.12460328753029398,-1.5018952481878642,-0.04815807338842543,-1.4965416716769822,0.24628863471006232,-1.4629250696221667,-0.1627053185536849,-1.449227630621353,0.41673493551596796,-1.0193499059232662,-0.31135146996392865,-0.9778717455686874,0.6235952026796728,-0.3558922619260827,-0.5421340249600415,-0.29521839480275824,0.9487164572729422,0.06872834709915676,-0.6417780706490622,0.16340465962943168,0.250243529069452,-0.013745669419830695,-0.250243529069452,0.013745669419831791,1.0013840748394522,0.25388492570523236,-0.3900152833805771,0.3172596962935069,0.0400553629935784,0.4524977912170383,0.14567998064070228,0.45534338593903806
3,0.1,1413.94,1099.63,0.99,1431.63,1082.32,0.99,1395.86,1083.45,0.99,1456.81,1090.44,0.88,1372.07,1093.23,0.88,1492.24,1182.28,1.0,1341.12,1191.01,1.0,1535.47,1320.19,0.99,1293.43,1332.67,0.98,1603.26,1408.79,0.99,1273.27,1428.54,0.97,1457.41,1391.46,1.0,1353.23,1397.37,1.0,1613.72,1446.03,0.99,1325.87,1460.56,0.99,1417.72,1486.49,0.96,1431.67,1486.45,0.96,0.04142630936200752,-1.4166884692899693,0.1264415544448294,-1.4998774965586894,-0.04546321189844629,-1.4944469014799104,0.24745251381087996,-1.4608541053731312,-0.15979405873396485,-1.4474458219485373,0.41772329579416856,-1.0194860947226887,-0.30853469385625615,-0.9775311433618614,0.6254796013300861,-0.35671320329408857,-0.5377250295261119,-0.2967363656098819,0.9512672476932559,0.06908389757295426,-0.6346106904005998,0.16399916554275226,0.2503360156226213,-0.014201246422822594,-0.2503360156226224,0.014201246422822594,1.0015362959446021,0.2480532433549937,-0.3818236982379989,0.3178820455626475,0.0595923707759738,0.44249738219337503,0.12663378789894528,0.44230514873925914
4,0.133,1413.94,1099.17,0.99,1431.77,1081.89,0.99,1395.99,1083.0,0.99,1457.28,1090.29,0.89,1372.54,1093.03,0.87,1492.32,1182.46,1.0,1341.74,1190.76,1.0,1535.03,1320.43,0.99,1293.37,1331.51,0.98,1603.33,1408.31,0.99,1272.69,1426.46,0.97,1456.72,1391.74,1.0,1352.8,1397.37,1.0,1613.75,1445.85,0.99,1324.7,1460.43,0.99,1416.29,1487.78,0.97,1432.02,1486.12,0.96,0.044069636573653814,-1.4180293681164085,0.12966458429786284,-1.5009839781374033,-0.04210138483125713,-1.4956552965909162,0.25212824758695873,-1.4606588204883093,-0.1546757832683134,-1.447505138112295,0.42034176235175363,-1.0181862275696112,-0.30253469464832716,-0.9783411313211012,0.625375986541377,-0.3558455131832305,-0.5347403941110315,-0.3026547099984726,0.9532579231405636,0.06603244565039311,-0.6340170917518971,0.1531635898564732,0.24943990374368602,-0.013513728426451743,-0.24943990374368602,0.013513728426452836,1.0032803210814647,0.24624749542979954,-0.3843371573079191,0.3162404476350147,0.055351079487388204,0.4475372406948643,0.13086473779932398,0.43956822144516183
5,0.167,1413.93,1099.23,0.99,1431.4,1081.72,0.99,1395.88,1083.25,0.99,1456.74,1089.59,0.89,1372.43,1093.31,0.87,1492.73,1182.12,1.0,1342.3,1191.14,1.0,1535.43,1320.68,0.99,1293.58,1332.36,0.98,1603.2,1408.45,0.99,1273.13,1426.85,0.97,1457.21,1390.78,1.0,1353.17,1396.53,1.0,1612.51,1446.75,0.99,1322.03,1461.17,0.99,1416.36,1487.19,0.97,1428.42,1485.79,0.96,0.042142507127975494,-1.4196576271343444,0.1263793034123842,-1.5040872953049222,-0.044890931505886626,-1.4967099456589494,0.24856364330058725,-1.4661397517011279,-0.15796207477259444,-1.44820266628739,0.42210012288134663,-1.0199788610201705,-0.30324282302956296,-0.9764862506890095,0.6279908613669934,-0.35187064732997764,-0.538160780383678,-0.29555205656856504,0.9547640545092012,0.07133848889684209,-0.6367665321876929,0.16005955653468448,0.25082988796307576,-0.013862666818412977,-0.25082988796307576,0.013862666818412977,0.9996549860150878,0.2560133199038739,-0.4009806513458171,0.32554363486787946,0.05385947421275506,0.4510067968209596,0.11201034789277695,0.4442562808050363
6,0.2,1413.81,1099.63,0.99,1431.36,1082.14,0.99,1395.7,1083.51,0.99,1456.65,1089.97,0.88,1372.1,1093.35,0.87,1492.46,1182.28,1.0,1341.91,1191.08,1.0,1535.04,1320.36,0.99,1293.32,1331.99,0.98,1602.82,1407.79,0.99,1272.84,1426.34,0.97,1457.01,1391.0,1.0,1353.09,1396.73,1.0,1611.84,1446.8,0.99,1323.81,1461.13,0.99,1415.97,1486.92,0.96,1428.25,1486.65,0.96,0.04220871573152758,-1.4177261955783136,0.12677069759092346,-1.5019990766450282,-0.0450515401928972,-1.4953979418787966,0.2486266817062593,-1.464271423200067,-0.15876451864769833,-1.4479854118789988,0.42117167147178464,-1.019489853659278,-0.30423040083203756,-0.9770884040659628,0.6263368673448946,-0.3541725627678017,-0.5383538594387651,-0.2981351924529991,0.9529243961443171,0.06709547563487675,-0.6370335966741175,0.15647580403896758,0.250361286462349,-0.013804562850551032,-0.250361286462349,0.013804562850551032,0.9963858819774654,0.2550591743434261,-0.39144247329101656,0.32410608032890525,0.05261634426806904,0.4483712377165875,0.1117856398369227,0.44707028414951994
7,0.233,1413.77,1099.2,0.99,1431.43,1081.77,0.99,1395.7,1083.08,0.99,1456.92,1089.84,0.89,1372.22,1093.11,0.87,1492.92,1182.33,1.0,1342.02,1191.06,1.0,1535.06,1320.11,0.99,1293.46,1331.84,0.98,1603.25,1408.44,0.99,1272.69,1426.6,0.97,1457.27,1390.79,1.0,1352.93,1396.42,1.0,1611.82,1446.62,0.99,1321.31,1460.74,0.99,1417.1,1486.63,0.97,1428.12,1486.69,0.96,0.041827593348328564,-1.4203290218817262,0.12702658971874142,-1.5044184050491267,-0.04534940916658356,-1.4980984341971881,0.2500006790438725,-1.4654854548390914,-0.15862644397843445,-1.4497096497353967,0.4236792673414291,-1.0192762150712855,-0.3043234819391627,-0.9771591574091281,0.6269797037541794,-0.3545696624146928,-0.5385965999316443,-0.2979793890610722,0.9559558964211348,0.07157005159428495,-0.6387994965688734,0.15918125057994056,0.25168922087454276,-0.01358070072382309,-0.25168922087454165,0.01358070072382309,0.9973010492464139,0.2557658432943039,-0.40423691426256275,0.32388644514879056,0.05789286276585219,0.44879029656611713,0.11105780840582637,0.4490797608799461
8,0.267,1414.0,1099.44,0.99,1431.6,1081.89,0.99,1395.91,1083.31,0.99,1456.93,1089.83,0.89,1372.42,1093.29,0.87,1492.85,1182.46,1.0,1342.05,1191.43,1.0,1535.25,1320.24,0.99,1293.09,1332.5,0.98,1603.2,1407.84,0.99,1272.8,1427.7,0.97,1458.16,1389.74,1.0,1354.01,1395.41,1.0,1609.51,1447.4,0.99,1322.42,1461.32,0.99,1417.67,1486.45,0.96,1425.75,1484.88,0.96,0.038432810016120755,-1.423373564633684,0.12389300664072277,-1.5085909766087846,-0.04940667617359807,-1.5016958925629367,0.24688771007829058,-1.4700367742679137,-0.1634669045095022,-1.453236076522395,0.4213042022803194,-1.0202539326010422,-0.31093430061684235,-0.9766983664804352,0.6271855850577712,-0.3512365524341262,-0.5486690294089184,-0.2917057563763066,0.9571299237305974,0.0741221534928719,-0.6471910401767128,0.17055621627495235,0.25286021245603274,-0.01376588962674722,-0.25286021245603274,0.01376588962674722,0.9877693464977131,0.2662133681786269,-0.4062515540112137,0.3338046145999026,0.056253203289546735,0.45582817943946335,0.09548720264902297,0.4482047414451099
9,0.3,1413.86,1099.3,0.99,1431.51,1081.89,0.99,1395.81,1083.16,0.99,1456.84,1090.08,0.89,1372.39,1093.28,0.87,1492.76,1182.1,1.0,1342.02,1190.9,1.0,1535.02,1320.03,0.99,1293.3,1332.13,0.98,1602.76,1407.25,0.99,1272.38,1427.82,0.97,1458.92,1388.99,1.0,1355.16,1394.69,1.0,1611.6,1445.69,0.99,1324.06,1459.26,0.99,1417.48,1487.35,0.97,1433.58,1487.25,0.97,0.033171097110822056,-1.422855241759528,0.11901711822607393,-1.5075339515395005,-0.0546204428965595,-1.5013569290569868,0.24221710207022762,-1.4676994522231326,-0.1685305740307904,-1.4521353010860896,0.41692469858353287,-1.0201328310885471,-0.31624409591578734,-0.9773314154616786,0.6224687695371036,-0.34926927910970085,-0.5532082969772634,-0.29041733262275726,0.9519423939193775,0.07495111531932079,-0.6549589350356796,0.17499942434712343,0.25233380030930613,-0.013861822106429365,-0.252333800309305,0.01386182210642826,0.9949383614354577,0.2619154808530471,-0.40359789417243996,0.3279172092685687,0.050778043084602244,0.4645412734684217,0.12908517849284815,0.4640548937453896
