Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf,norm_Nose_x,norm_Nose_y,norm_Left_Eye_x,norm_Left_Eye_y,norm_Right_Eye_x,norm_Right_Eye_y,norm_Left_Ear_x,norm_Left_Ear_y,norm_Right_Ear_x,norm_Right_Ear_y,norm_Left_Shoulder_x,norm_Left_Shoulder_y,norm_Right_Shoulder_x,norm_Right_Shoulder_y,norm_Left_Elbow_x,norm_Left_Elbow_y,norm_Right_Elbow_x,norm_Right_Elbow_y,norm_Left_Wrist_x,norm_Left_Wrist_y,norm_Right_Wrist_x,norm_Right_Wrist_y,norm_Left_Hip_x,norm_Left_Hip_y,norm_Right_Hip_x,norm_Right_Hip_y,norm_Left_Knee_x,norm_Left_Knee_y,norm_Right_Knee_x,norm_Right_Knee_y,norm_Left_Ankle_x,norm_Left_Ankle_y,norm_Right_Ankle_x,norm_Right_Ankle_y
0,0.0,1312.91,853.47,0.99,1329.95,837.06,1.0,1294.74,839.37,0.99,1357.23,840.98,0.95,1276.25,848.95,0.87,1398.52,915.74,1.0,1252.25,927.0,1.0,1479.63,972.46,0.99,1183.16,994.7,1.0,1468.93,1068.92,0.99,1216.95,1082.74,1.0,1383.41,1116.01,1.0,1285.9,1118.73,1.0,1503.25,1198.72,1.0,1148.98,1185.28,1.0,1306.49,1212.33,0.99,1327.74,1237.34,0.99,-0.1108199999431848,-1.3449251775123612,-0.02397829844712342,-1.4285561822981816,-0.20342057014174378,-1.4167836276939616,0.11504996545032711,-1.4085785138788993,-0.29765197041534586,-1.3679606523223493,0.32547800857077186,-1.0275758375968829,-0.41996422604360156,-0.9701910043312929,0.7388424691544317,-0.7385112067954384,-0.7720706319334423,-0.6251685165799213,0.6843115885201675,-0.24691786604954033,-0.5998651686968275,-0.1764863921836034,0.2484722509648164,-0.006931027818933982,-0.24847225096481756,0.00693102781893514,0.8592181140685728,0.4145875831399425,-0.9462636693240168,0.346092719988119,-0.14353852832374359,0.483948824769132,-0.035241218652892155,0.6114083878217434
1,0.033,1310.36,851.59,0.99,1327.7,835.66,1.0,1292.79,837.63,0.99,1356.98,841.04,0.96,1275.22,848.09,0.83,1398.92,917.68,1.0,1251.62,927.63,1.0,1479.39,979.44,0.99,1184.81,995.79,1.0,1468.51,1076.88,0.99,1214.99,1083.24,1.0,1381.41,1120.33,1.0,1283.94,1122.49,1.0,1504.37,1196.74,1.0,1145.41,1185.45,1.0,1289.57,1220.37,0.99,1337.87,1241.99,0.99,-0.11219606359522787,-1.356609539738471,-0.025013462531313774,-1.4367028981553192,-0.20053506594199558,-1.4267980697760854,0.12220144860775087,-1.4096531637998488,-0.2888740682887633,-1.3742069505645205,0.3330687086204689,-1.0243201450260127,-0.40753089557298283,-0.9742932199633864,0.7376583226696679,-0.7138012614212089,-0.7434403290839429,-0.6315962137052357,0.6829555141589766,-0.22388934402399308,-0.5917003694467508,-0.1919123346372295,0.24503137617357607,-0.005430058197752024,-0.2450313761735772,0.005430058197753167,0.8632535576510137,0.3787465592932299,-0.9415368966686127,0.3219823398000593,-0.21672468390196117,0.49755422152738576,0.026119585497520446,0.6062559421157259
2,0.067,1305.0,848.85,1.0,1322.28,832.92,1.0,1288.5,835.03,0.99,1356.44,839.55,0.97,1273.81,846.96,0.64,1401.25,918.85,1.0,1252.12,927.66,1.0,1480.45,984.71,0.99,1187.37,997.7,1.0,1467.57,1081.17,0.99,1215.85,1088.15,1.0,1382.51,1120.9,1.0,1283.27,1122.3,1.0,1506.52,1195.51,1.0,1145.04,1181.25,1.0,1290.59,1220.38,0.99,1336.36,1241.95,0.99,-0.14054481991466067,-1.3744567813454234,-0.053466494775709666,-1.4547321123328942,-0.22369252621053418,-1.4440992844368765,0.11867445353138399,-1.4213218521667343,-0.297719181088497,-1.3839809731574961,0.344483466811268,-1.021708936453839,-0.4070206204556182,-0.9773131005467697,0.743592457031461,-0.689823606960128,-0.7333123769803339,-0.624363685458104,0.6786868535714089,-0.20373707669952434,-0.5897943966587291,-0.16856307730890627,0.2500478294788638,-0.0035274784489149284,-0.25004782947886267,0.003527478448916074,0.8749658329789408,0.37245133165624345,-0.9466240380412017,0.3005915563969007,-0.21316048341305727,0.497777601691297,0.017486214596768683,0.6064743304671749
3,0.1,1301.8,851.17,1.0,1319.77,835.07,1.0,1286.41,836.69,0.99,1358.59,841.32,0.98,1273.97,847.59,0.44,1401.66,920.88,1.0,1254.25,928.76,1.0,1481.24,988.71,0.99,1188.44,999.68,1.0,1467.61,1085.64,0.99,1218.3,1091.33,1.0,1381.77,1122.01,1.0,1283.04,1123.06,1.0,1507.73,1195.2,1.0,1144.54,1181.51,1.0,1289.63,1219.52,0.99,1337.24,1240.58,0.99,-0.15475432381435375,-1.372158375490347,-0.06388893584036455,-1.4535680998298692,-0.2325739298755491,-1.4453765623497432,0.13240457340561484,-1.4219649459713588,-0.2954768473155285,-1.3902606620205014,0.35018822727538246,-1.0196694386140652,-0.39519111836990056,-0.9798241822292554,0.7525848647250232,-0.6766867304184235,-0.7279596872384713,-0.6212168747659665,0.6836647067903832,-0.18655973785755728,-0.5769724593640525,-0.1577882265847703,0.2496143504360585,-0.002654664924114183,-0.2496143504360585,0.0026546649241153326,0.8865316720389337,0.36743090802058614,-0.9499402399406487,0.2982073598089047,-0.2162919850076444,0.49040510031482143,0.024448199824943822,0.5968950875564578
4,0.133,1299.57,849.35,1.0,1317.27,832.88,1.0,1284.73,834.78,0.98,1359.0,837.93,0.98,1274.17,845.22,0.3,1402.52,920.94,1.0,1255.79,928.6,1.0,1481.1,992.08,0.99,1188.97,1001.44,1.0,1467.47,1086.62,0.99,1217.91,1091.63,1.0,1382.17,1121.25,1.0,1283.61,1122.01,1.0,1507.05,1196.32,1.0,1146.3,1179.55,1.0,1290.83,1220.29,0.99,1338.51,1241.36,0.99,-0.16922688468549818,-1.3828660312775374,-0.07933145074392162,-1.4665144943858857,-0.2445968417302996,-1.4568647020418748,0.13260846215901523,-1.4408663621031197,-0.2982293718106974,-1.4038416325305718,0.35363949521762544,-1.0192720134313535,-0.39157841564381507,-0.980368113770762,0.7527345912136176,-0.657963472719278,-0.7309463758684549,-0.6104255483298342,0.6835100282405286,-0.17781012103359362,-0.5839648019549395,-0.1523651422738582,0.25028514037519206,-0.0019299584688027582,-0.2502851403751909,0.0019299584688016033,0.8845304392805052,0.3793384158811481,-0.9476603965626396,0.29416630135006144,-0.2136159294679489,0.501078164557961,0.028543069985970036,0.608089282814967
5,0.167,1295.46,848.99,1.0,1313.74,833.06,1.0,1282.05,834.11,0.98,1359.12,839.48,0.99,1273.85,844.73,0.19,1402.95,922.82,1.0,1256.12,928.92,1.0,1481.1,994.84,0.99,1189.31,1002.08,1.0,1465.62,1090.04,0.99,1217.84,1090.88,1.0,1382.62,1123.39,1.0,1283.37,1123.39,1.0,1508.06,1196.93,1.0,1145.89,1179.55,1.0,1293.56,1222.56,0.99,1336.44,1243.14,0.99,-0.1900022401058067,-1.38901331250922,-0.0974688459634288,-1.4696510022623979,-0.2578836851522672,-1.4643359003012653,0.13224479879483733,-1.4371529502714748,-0.29939210046777615,-1.4105774404658138,0.35411234065810016,-1.015285714613609,-0.38914139358289457,-0.984407503220365,0.7497077866223688,-0.6507203400986162,-0.7273337383669357,-0.6140714465761425,0.6713479977096766,-0.16881776228929543,-0.5829148250801719,-0.16456568072038893,0.25120184268684415,0.0,-0.25120184268684415,0.0,0.8861793569767734,0.3722596173539649,-0.9471258594644215,0.2842820248925568,-0.1996200436545226,0.5019987252242679,0.01743859643438225,0.6061747236624602
6,0.2,1294.33,850.05,1.0,1312.59,833.92,1.0,1281.41,834.97,0.98,1360.43,839.89,0.99,1274.71,845.35,0.13,1404.01,923.76,1.0,1256.62,929.74,1.0,1481.01,995.89,0.99,1190.29,1001.65,1.0,1464.46,1091.26,0.99,1218.74,1089.68,1.0,1382.89,1125.05,1.0,1283.16,1125.03,1.0,1508.5,1196.78,1.0,1146.06,1178.98,1.0,1287.77,1222.72,0.99,1337.66,1243.21,0.99,-0.19512525455303228,-1.3866777038257687,-0.10304650670089757,-1.4680156119777366,-0.2602762634385507,-1.4627208318438512,0.13819376149440035,-1.43791100493079,-0.2940620033404843,-1.4103781482345874,0.35795235028936345,-1.0149841384270362,-0.3852835010757051,-0.984829104902624,0.746236226774269,-0.6512579564678642,-0.7197623261048448,-0.6222123054476948,0.6627804065687474,-0.1703406408787026,-0.5762989977152918,-0.17830802431826265,0.2514516298820756,5.042647746552629e-05,-0.2514516298820756,-5.042647746552629e-05,0.8848586133271269,0.3617595493380147,-0.9427986359350705,0.2720004194492965,-0.22820502377044732,0.4925658318837091,0.02337267230529265,0.5958896842106666
7,0.233,1293.71,850.12,1.0,1311.94,834.46,1.0,1281.85,834.93,0.98,1360.15,840.52,0.99,1276.08,844.72,0.11,1404.06,923.21,1.0,1257.67,929.12,1.0,1481.12,996.82,0.99,1190.76,1002.26,1.0,1459.36,1094.19,0.99,1221.69,1091.6,1.0,1383.22,1125.42,1.0,1283.95,1125.44,1.0,1508.8,1192.47,1.0,1143.89,1177.46,1.0,1285.98,1221.36,0.99,1340.93,1241.0,0.99,-0.20009176536148865,-1.3814987817347073,-0.1086140755172268,-1.46008027504031,-0.2596049525009816,-1.457721826646081,0.13330251402703341,-1.4296713446806708,-0.28855867002162827,-1.4085958483918115,0.3536418097517466,-1.014734966555492,-0.3809395954211261,-0.9850787324918834,0.7403269868992401,-0.6453618042167036,-0.7166923232038778,-0.6180640185473247,0.6311358442217231,-0.15676154858665597,-0.5614863469623516,-0.1697581046314531,0.2490672043565514,-5.017975306866625e-05,-0.2490672043565514,5.017975306866625e-05,0.8792245433934349,0.3364050645726443,-0.9518848258369298,0.2610852552165078,-0.23888071448360304,0.4813743711881523,0.036857028628969016,0.579927406215103
8,0.267,1294.92,852.5,1.0,1312.94,836.34,1.0,1282.65,837.03,0.98,1360.5,840.46,0.99,1276.42,845.41,0.12,1403.26,923.29,1.0,1258.92,929.11,1.0,1480.97,996.83,0.99,1190.49,1001.58,1.0,1457.51,1092.57,0.99,1220.82,1090.36,1.0,1381.39,1124.58,1.0,1283.25,1124.41,1.0,1508.75,1197.61,1.0,1143.72,1180.71,1.0,1285.72,1220.81,0.99,1338.1,1241.63,0.99,-0.18860425388888832,-1.371642086537648,-0.09773129519696971,-1.4531352614800122,-0.25048056926901263,-1.449655664282597,0.14210876670023606,-1.4323585361853004,-0.2818978019355307,-1.4073962084647127,0.3577429350502051,-1.0146555856607933,-0.3701484554931654,-0.9853059397347682,0.7496262657909935,-0.6438011249391669,-0.7152337253759624,-0.6198473761163803,0.6313199610788727,-0.1609944065615705,-0.5622827355243594,-0.17213920338227767,0.24745483257560735,0.0004286460315658377,-0.2474548325756085,-0.00042864603156469105,0.8897178746956271,0.3687112305637978,-0.9510899006268523,0.2834863136995684,-0.23499888318775936,0.4857063827087766,0.0291479301464632,0.5906994459699176
9,0.3,1294.01,852.89,1.0,1312.03,836.66,1.0,1282.0,837.25,0.97,1360.12,840.42,0.99,1276.29,845.32,0.11,1404.07,923.72,1.0,1259.81,930.12,1.0,1480.74,998.44,0.99,1189.86,1003.41,1.0,1453.09,1093.88,0.99,1222.65,1092.85,1.0,1382.29,1124.8,1.0,1284.39,1124.71,1.0,1510.16,1194.84,1.0,1144.88,1179.09,1.0,1285.21,1221.25,0.99,1341.61,1240.45,0.99,-0.19879705434667366,-1.3741663152798944,-0.10771332896332655,-1.4562023232139525,-0.25950268929972575,-1.4532201146692145,0.1353619403865713,-1.4371970619796914,-0.2883644025038831,-1.4124295672861058,0.35751120401576736,-1.0161496521887463,-0.3716640581263894,-0.9838002713644722,0.7450466771090657,-0.6384706310653444,-0.7252326813541996,-0.6133493150189944,0.6052872427666929,-0.1560604895233543,-0.5594926505373311,-0.16126671799976194,0.24742221739815917,0.00022745658391989682,-0.24742221739816034,-0.0002274565839210461,0.8937527370856517,0.3542509929795711,-0.9525881734598011,0.27464118860733366,-0.24327745298005052,0.48774273478724073,0.04180146553386564,0.5847908772600637
