Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1427.61,1078.11,0.99,1448.42,1060.19,0.99,1411.49,1059.12,0.99,1476.39,1068.03,0.92,1388.45,1065.49,0.81,1511.75,1161.18,1.0,1352.01,1168.54,1.0,1556.41,1295.84,0.99,1310.24,1310.75,0.98,1610.63,1398.46,0.99,1279.25,1420.6,0.98,1484.54,1393.59,1.0,1371.77,1396.96,1.0,1625.82,1465.03,0.99,1288.65,1477.38,0.98,1440.8,1509.57,0.94,1412.38,1483.28,0.93
1,0.033,1427.47,1078.8,0.99,1448.45,1060.83,0.99,1411.39,1059.73,0.99,1476.88,1068.69,0.92,1388.8,1066.27,0.8,1511.83,1161.74,1.0,1352.96,1169.33,1.0,1555.4,1295.43,0.99,1311.14,1311.71,0.98,1610.09,1398.15,0.99,1278.42,1421.88,0.98,1485.41,1391.81,1.0,1373.86,1395.06,1.0,1621.91,1463.12,0.99,1286.56,1473.85,0.99,1439.25,1509.29,0.95,1427.23,1484.77,0.95
2,0.067,1428.03,1078.79,0.99,1449.1,1060.79,0.99,1411.71,1059.55,0.99,1477.08,1068.71,0.91,1388.24,1065.88,0.81,1511.38,1162.16,1.0,1352.15,1168.75,1.0,1555.39,1296.96,0.99,1310.94,1310.57,0.98,1610.62,1399.37,0.99,1279.21,1420.56,0.98,1485.22,1392.98,1.0,1373.37,1396.02,1.0,1623.56,1463.5,0.99,1287.73,1474.46,0.99,1440.26,1508.17,0.95,1426.46,1483.29,0.94
3,0.1,1428.14,1078.63,0.99,1449.07,1060.67,0.99,1411.89,1059.47,0.99,1476.9,1068.23,0.91,1388.47,1065.57,0.81,1511.26,1161.55,1.0,1352.97,1168.86,1.0,1555.23,1295.61,0.99,1310.71,1311.44,0.98,1611.03,1399.28,0.99,1277.77,1423.01,0.98,1485.09,1391.73,1.0,1374.12,1394.86,1.0,1624.4,1462.97,0.99,1290.73,1473.53,0.99,1439.46,1508.73,0.95,1431.95,1481.47,0.94
4,0.133,1428.14,1078.72,0.99,1449.05,1060.61,0.99,1411.93,1059.47,0.99,1477.11,1067.69,0.92,1388.72,1065.16,0.81,1511.53,1161.23,1.0,1353.14,1168.3,1.0,1555.01,1295.38,0.99,1311.15,1310.85,0.98,1610.13,1398.35,0.99,1278.29,1420.71,0.98,1484.67,1392.02,1.0,1373.43,1395.05,1.0,1623.37,1463.61,0.99,1288.25,1473.73,0.99,1439.8,1508.72,0.95,1427.75,1484.52,0.94
5,0.167,1428.1,1078.46,0.99,1449.18,1060.37,0.99,1411.81,1059.14,0.99,1477.23,1067.72,0.91,1388.37,1064.93,0.81,1511.57,1161.58,1.0,1352.27,1168.66,1.0,1554.97,1295.72,0.99,1311.06,1311.13,0.98,1610.23,1398.47,0.99,1278.3,1421.05,0.98,1485.82,1392.69,1.0,1374.2,1395.8,1.0,1622.85,1464.37,0.99,1291.03,1474.5,0.99,1439.13,1509.12,0.95,1427.08,1482.75,0.94
6,0.2,1428.16,1077.97,0.99,1449.1,1060.1,0.99,1411.99,1058.87,0.99,1477.04,1067.75,0.91,1388.61,1065.0,0.81,1511.25,1161.83,1.0,1352.78,1168.74,1.0,1554.82,1296.44,0.99,1311.18,1310.75,0.98,1610.32,1398.16,0.99,1279.12,1419.93,0.98,1485.57,1393.14,1.0,1374.47,1396.22,1.0,1624.7,1462.64,0.99,1290.46,1473.18,0.99,1438.22,1509.72,0.96,1432.36,1483.05,0.95
7,0.233,1428.3,1078.21,0.99,1449.23,1060.19,0.99,1412.05,1059.0,0.99,1477.19,1067.96,0.91,1388.8,1065.3,0.81,1511.35,1161.66,1.0,1353.06,1169.05,1.0,1555.04,1295.99,0.99,1311.02,1311.3,0.98,1610.45,1398.83,0.99,1278.83,1420.67,0.98,1484.42,1392.33,1.0,1373.15,1395.71,1.0,1625.04,1463.42,0.99,1290.35,1475.66,0.99,1438.11,1508.51,0.95,1426.02,1483.18,0.94
8,0.267,1428.58,1077.84,0.99,1449.64,1060.0,0.99,1412.26,1058.53,0.99,1477.36,1068.14,0.91,1388.63,1064.93,0.82,1510.97,1161.66,1.0,1352.43,1168.85,1.0,1554.66,1295.68,0.99,1311.37,1311.51,0.98,1610.42,1398.49,0.99,1278.95,1420.9,0.98,1485.69,1392.14,1.0,1374.62,1395.49,1.0,1624.76,1463.09,0.99,1288.9,1474.26,0.99,1436.95,1509.31,0.96,1435.29,1485.8,0.95
9,0.3,1428.23,1077.64,0.99,1449.11,1059.95,0.99,1412.01,1058.67,0.99,1476.76,1068.16,0.91,1388.43,1065.3,0.82,1510.44,1161.31,1.0,1352.46,1169.36,1.0,1554.25,1295.81,0.99,1311.13,1312.06,0.98,1609.96,1398.24,0.99,1279.51,1420.49,0.98,1484.88,1392.64,1.0,1374.01,1396.41,1.0,1624.34,1460.68,0.99,1289.24,1474.0,0.99,1437.29,1510.57,0.96,1434.61,1483.84,0.95
