Frame,Time_Sec,Nose_x,Nose_y,Nose_conf,Left_Eye_x,Left_Eye_y,Left_Eye_conf,Right_Eye_x,Right_Eye_y,Right_Eye_conf,Left_Ear_x,Left_Ear_y,Left_Ear_conf,Right_Ear_x,Right_Ear_y,Right_Ear_conf,Left_Shoulder_x,Left_Shoulder_y,Left_Shoulder_conf,Right_Shoulder_x,Right_Shoulder_y,Right_Shoulder_conf,Left_Elbow_x,Left_Elbow_y,Left_Elbow_conf,Right_Elbow_x,Right_Elbow_y,Right_Elbow_conf,Left_Wrist_x,Left_Wrist_y,Left_Wrist_conf,Right_Wrist_x,Right_Wrist_y,Right_Wrist_conf,Left_Hip_x,Left_Hip_y,Left_Hip_conf,Right_Hip_x,Right_Hip_y,Right_Hip_conf,Left_Knee_x,Left_Knee_y,Left_Knee_conf,Right_Knee_x,Right_Knee_y,Right_Knee_conf,Left_Ankle_x,Left_Ankle_y,Left_Ankle_conf,Right_Ankle_x,Right_Ankle_y,Right_Ankle_conf
0,0.0,1218.45,871.81,0.99,1239.8,853.29,1.0,1200.3,853.57,0.99,1269.67,855.57,0.96,1178.46,857.68,0.87,1307.84,948.68,1.0,1152.2,954.23,1.0,1361.93,1073.46,1.0,1112.66,1085.18,1.0,1406.65,1181.57,0.99,1054.81,1186.34,0.99,1289.73,1155.19,1.0,1186.18,1155.49,1.0,1401.5,1220.47,0.99,1065.01,1202.05,0.99,1253.86,1242.01,0.97,1262.09,1252.48,0.98
1,0.033,1218.06,868.44,0.99,1238.83,850.1,1.0,1199.61,850.5,0.99,1266.81,853.06,0.95,1177.27,855.68,0.9,1307.04,948.11,1.0,1150.75,954.53,1.0,1360.46,1073.51,1.0,1111.84,1086.31,1.0,1405.83,1182.05,0.99,1054.12,1187.08,0.99,1287.74,1153.92,1.0,1184.99,1154.53,1.0,1392.66,1218.59,0.99,1067.0,1202.24,0.99,1239.31,1242.79,0.98,1263.13,1254.79,0.98
2,0.067,1217.84,868.72,0.99,1238.92,850.33,1.0,1199.68,850.89,0.99,1269.35,853.52,0.96,1178.31,856.31,0.86,1307.72,947.59,1.0,1151.55,954.71,1.0,1360.86,1072.88,1.0,1112.66,1085.75,0.99,1405.86,1181.45,0.99,1054.01,1186.25,0.99,1287.69,1153.74,1.0,1185.05,1154.78,1.0,1397.44,1214.53,1.0,1065.8,1199.97,1.0,1231.2,1246.21,0.98,1267.35,1256.28,0.98
3,0.1,1217.18,869.54,0.99,1238.28,850.96,1.0,1198.99,851.67,0.99,1268.98,853.34,0.96,1177.62,856.49,0.85,1307.84,947.12,1.0,1151.45,954.09,1.0,1360.91,1073.14,1.0,1112.2,1085.84,0.99,1406.01,1181.26,0.99,1054.36,1186.91,0.99,1288.39,1154.56,1.0,1185.23,1155.42,1.0,1397.88,1215.39,1.0,1065.55,1198.95,1.0,1237.12,1244.39,0.98,1261.0,1254.91,0.98
4,0.133,1217.01,870.25,0.99,1238.23,851.67,1.0,1198.96,852.13,0.99,1268.43,853.31,0.96,1177.45,855.98,0.85,1306.78,947.31,1.0,1151.06,954.06,1.0,1361.29,1073.74,1.0,1112.71,1087.98,1.0,1405.58,1181.4,0.99,1053.39,1187.27,0.99,1288.94,1155.13,1.0,1187.06,1155.67,1.0,1397.21,1218.14,0.99,1066.63,1198.36,0.99,1228.38,1244.37,0.98,1274.3,1256.22,0.98
5,0.167,1216.44,869.52,0.99,1237.59,851.29,1.0,1198.61,851.41,0.99,1267.42,853.95,0.96,1177.4,855.85,0.86,1307.54,948.05,1.0,1150.98,953.64,1.0,1361.71,1075.02,1.0,1112.3,1087.28,0.99,1406.38,1182.25,0.99,1054.12,1187.59,0.99,1289.39,1154.0,1.0,1186.26,1154.17,1.0,1400.48,1218.25,0.99,1068.24,1198.91,0.99,1241.95,1240.78,0.98,1266.57,1252.47,0.98
6,0.2,1216.52,870.06,0.99,1237.8,851.58,1.0,1198.82,851.83,0.99,1268.64,854.21,0.96,1177.74,856.22,0.84,1307.11,947.53,1.0,1151.2,954.26,1.0,1360.9,1074.32,1.0,1112.38,1087.41,0.99,1406.17,1181.82,0.99,1054.1,1187.73,0.99,1288.62,1154.08,1.0,1186.15,1155.1,1.0,1397.21,1212.34,0.99,1067.07,1197.85,0.99,1237.14,1245.83,0.98,1271.18,1255.35,0.98
7,0.233,1216.17,871.04,0.99,1237.63,852.26,1.0,1198.32,852.42,0.99,1268.21,854.39,0.96,1176.92,856.16,0.85,1306.58,947.88,1.0,1150.89,954.35,1.0,1361.02,1075.19,1.0,1112.22,1086.67,0.99,1406.35,1182.08,0.99,1053.95,1186.74,0.99,1287.28,1153.9,1.0,1185.63,1154.81,1.0,1388.06,1211.05,1.0,1068.87,1198.41,1.0,1233.71,1246.82,0.98,1270.26,1255.92,0.98
8,0.267,1216.3,869.82,0.99,1237.7,851.54,1.0,1198.35,851.53,0.99,1267.73,854.38,0.96,1176.67,855.89,0.86,1306.41,947.91,1.0,1150.32,953.72,1.0,1360.96,1073.7,1.0,1112.59,1086.66,0.99,1405.77,1181.11,0.99,1054.47,1187.82,0.99,1288.47,1154.51,1.0,1186.1,1154.96,1.0,1398.4,1214.73,0.99,1068.07,1197.24,0.99,1235.48,1243.62,0.98,1269.94,1255.44,0.98
9,0.3,1215.39,870.27,0.99,1237.08,851.98,1.0,1197.61,851.68,0.99,1267.56,854.39,0.96,1176.07,855.28,0.85,1306.21,948.28,1.0,1150.32,953.86,1.0,1361.46,1074.79,1.0,1112.86,1087.7,0.99,1406.71,1182.83,0.99,1054.35,1187.91,0.99,1288.13,1154.51,1.0,1185.81,1154.71,1.0,1400.02,1216.56,0.99,1066.76,1198.36,0.99,1234.06,1243.99,0.98,1269.94,1255.83,0.98
10,0.333,1215.43,870.87,0.99,1237.08,852.56,1.0,1197.63,852.32,0.99,1267.62,855.19,0.96,1175.92,856.19,0.85,1306.14,947.77,1.0,1150.2,954.37,1.0,1361.14,1073.22,1.0,1113.31,1086.0,0.99,1406.37,1182.37,0.99,1053.88,1185.69,0.99,1287.27,1154.04,1.0,1185.38,1154.76,1.0,1398.5,1210.94,1.0,1065.52,1196.9,1.0,1224.64,1248.33,0.99,1270.02,1257.56,0.99
11,0.367,1215.46,871.83,0.99,1237.14,853.17,1.0,1197.34,853.08,0.99,1267.76,856.21,0.96,1175.72,857.55,0.85,1306.4,948.99,1.0,1150.27,955.11,1.0,1361.67,1074.23,1.0,1112.81,1087.59,0.99,1405.72,1182.62,0.99,1054.03,1187.09,0.99,1287.42,1154.37,1.0,1184.83,1154.71,1.0,1398.89,1215.41,1.0,1065.31,1198.26,1.0,1232.77,1245.16,0.98,1263.47,1256.41,0.98
12,0.4,1215.21,872.15,0.99,1236.5,853.29,1.0,1197.33,853.51,0.99,1266.89,856.01,0.96,1176.15,858.04,0.84,1305.85,947.55,1.0,1150.38,955.43,1.0,1359.86,1073.33,1.0,1112.44,1087.66,0.99,1405.45,1181.52,0.99,1053.11,1185.96,0.99,1286.76,1153.46,1.0,1184.93,1154.86,1.0,1389.3,1211.63,0.99,1064.55,1200.42,0.99,1228.05,1247.08,0.98,1266.71,1255.83,0.98
